Set used: 2

Position (m)                            Time (s)
-0.0002606653                          0.8201
-0.0002408749                          0.8251
-0.0002214185                          0.8301
-0.0002116768                          0.8351
-0.0002172359                          0.8401
-0.0002377581                          0.8451
-0.0002671133                          0.8501
-0.0002957140                          0.8551
-0.0003141829                          0.8601
-0.0003169312                          0.8651
-0.0003042996                          0.8701
-0.0002824182                          0.8751
-0.0002608748                          0.8801
-0.0002490528                          0.8851
-0.0002525393                          0.8901
-0.0002710003                          0.8951
-0.0002982995                          0.9001
-0.0003248516                          0.9051
-0.0003412835                          0.9101
-0.0003420023                          0.9151
-0.0003273503                          0.9201
-0.0003034643                          0.9251
-0.0002799303                          0.9301
-0.0002661330                          0.9351
-0.0002676614                          0.9401
-0.0002841804                          0.9451
-0.0003095586                          0.9501
-0.0003342099                          0.9551
-0.0003487545                          0.9601
-0.0003476086                          0.9651
-0.0003311133                          0.9701
-0.0003054032                          0.9751
-0.0002800680                          0.9801
-0.0002644881                          0.9851
-0.0002642586                          0.9901
-0.0002790413                          0.9951
-0.0003027090                          1.0001
-0.0003256760                          1.0051
-0.0003385644                          1.0101
-0.0003357893                          1.0151
-0.0003176919                          1.0201
-0.0002904061                          1.0251
-0.0002635251                          1.0301
-0.0002464337                          1.0351
-0.0002447224                          1.0401
-0.0002580591                          1.0451
-0.0002803100                          1.0501
-0.0003018908                          1.0551
-0.0003134260                          1.0601
-0.0003093265                          1.0651
-0.0002899351                          1.0701
-0.0002613919                          1.0751
-0.0002332887                          1.0801
-0.0002150079                          1.0851
-0.0002121402                          1.0901
-0.0002243531                          1.0951
-0.0002455167                          1.1001
-0.0002660472                          1.1051
-0.0002765657                          1.1101
-0.0002714903                          1.1151
-0.0002511599                          1.1201
-0.0002217115                          1.1251
-0.0001927376                          1.1301
-0.0001736215                          1.1351
-0.0001699534                          1.1401
-0.0001813985                          1.1451
-0.0002018297                          1.1501
-0.0002216615                          1.1551
-0.0002315174                          1.1601
-0.0002258130                          1.1651
-0.0002048906                          1.1701
-0.0001748858                          1.1751
-0.0001453888                          1.1801
-0.0001257811                          1.1851
-0.0001216541                          1.1901
-0.0001326747                          1.1951
-0.0001527145                          1.2001
-0.0001721869                          1.2051
-0.0001817161                          1.2101
-0.0001757169                          1.2151
-0.0001545323                          1.2201
-0.0001242957                          1.2251
-0.0000945997                          1.2301
-0.0000748272                          1.2351
-0.0000705693                          1.2401
-0.0000814926                          1.2451
-0.0001014647                          1.2501
-0.0001209023                          1.2551
-0.0001304275                          1.2601
-0.0001244545                          1.2651
-0.0001033243                          1.2701
-0.0000731733                          1.2751
-0.0000435918                          1.2801
-0.0000239619                          1.2851
-0.0000198746                          1.2901
-0.0000309952                          1.2951
-0.0000511920                          1.3001
-0.0000708789                          1.3051
-0.0000806784                          1.3101
-0.0000750056                          1.3151
-0.0000541988                          1.3201
-0.0000243947                          1.3251
0.0000048164                           1.3301
0.0000240528                           1.3351
0.0000277241                           1.3401
0.0000161659                           1.3451
-0.0000044896                          1.3501
-0.0000246564                          1.3551
-0.0000349569                          1.3601
-0.0000298047                          1.3651
-0.0000095384                          1.3701
0.0000197061                           1.3751
0.0000483396                           1.3801
0.0000669810                           1.3851
0.0000700411                           1.3901
0.0000578561                           1.3951
0.0000365585                           1.4001
0.0000157345                           1.4051
0.0000047618                           1.4101
0.0000092279                           1.4151
0.0000287944                           1.4201
0.0000573259                           1.4251
0.0000852337                           1.4301
0.0001031380                           1.4351
0.0001054494                           1.4401
0.0000925033                           1.4451
0.0000704337                           1.4501
0.0000488279                           1.4551
0.0000370652                           1.4601
0.0000407330                           1.4651
0.0000594939                           1.4701
0.0000872126                           1.4751
0.0001143002                           1.4801
0.0001313775                           1.4851
0.0001328556                           1.4901
0.0001190747                           1.4951
0.0000961669                           1.5001
0.0000737192                           1.5051
0.0000611109                           1.5101
0.0000639308                           1.5151
0.0000818417                           1.5201
0.0001087086                           1.5251
0.0001349428                           1.5301
0.0001511676                           1.5351
0.0001517937                           1.5401
0.0001371607                           1.5451
0.0001133999                           1.5501
0.0000900991                           1.5551
0.0000766386                           1.5601
0.0000786091                           1.5651
0.0000956737                           1.5701
0.0001216984                           1.5751
0.0001470958                           1.5801
0.0001624869                           1.5851
0.0001622851                           1.5901
0.0001468294                           1.5951
0.0001222518                           1.6001
0.0000981420                           1.6051
0.0000838805                           1.6101
0.0000850550                           1.6151
0.0001013290                           1.6201
0.0001265701                           1.6251
0.0001511909                           1.6301
0.0001658147                           1.6351
0.0001648520                           1.6401
0.0001486417                           1.6451
0.0001233207                           1.6501
0.0000984766                           1.6551
0.0000834893                           1.6601
0.0000839487                           1.6651
0.0000995195                           1.6701
0.0001240674                           1.6751
0.0001480061                           1.6801
0.0001619556                           1.6851
0.0001603305                           1.6901
0.0001434691                           1.6951
0.0001175073                           1.7001
0.0000920339                           1.7051
0.0000764300                           1.7101
0.0000762844                           1.7151
0.0000912611                           1.7201
0.0001152277                           1.7251
0.0001385977                           1.7301
0.0001519940                           1.7351
0.0001498285                           1.7401
0.0001324416                           1.7451
0.0001059660                           1.7501
0.0000799924                           1.7551
0.0000639016                           1.7601
0.0000632825                           1.7651
0.0000777990                           1.7701
0.0001013192                           1.7751
0.0001242571                           1.7801
0.0001372358                           1.7851
0.0001346667                           1.7901
0.0001168883                           1.7951
0.0000900380                           1.8001
0.0000637027                           1.8051
0.0000472631                           1.8101
0.0000463100                           1.8151
0.0000605079                           1.8201
0.0000837239                           1.8251
0.0001063709                           1.8301
0.0001190717                           1.8351
0.0001162391                           1.8401
0.0000982125                           1.8451
0.0000711269                           1.8501
0.0000445715                           1.8551
0.0000279266                           1.8601
0.0000267820                           1.8651
0.0000408018                           1.8701
0.0000638533                           1.8751
0.0000863501                           1.8801
0.0000989146                           1.8851
0.0000959589                           1.8901
0.0000778212                           1.8951
0.0000506379                           1.9001
0.0000239981                           1.9051
0.0000072823                           1.9101
0.0000060799                           1.9151
0.0000200549                           1.9201
0.0000430746                           1.9251
0.0000655519                           1.9301
0.0000781081                           1.9351
0.0000751570                           1.9401
0.0000570358                           1.9451
0.0000298801                           1.9501
0.0000032795                           1.9551
-0.0000133858                          1.9601
-0.0000145263                          1.9651
-0.0000004782                          1.9701
0.0000226253                           1.9751
0.0000451971                           1.9801
0.0000578587                           1.9851
0.0000550230                           1.9901
0.0000370281                           1.9951
0.0000100093                           2.0001
-0.0000164450                          2.0051
-0.0000329544                          2.0101
-0.0000339304                          2.0151
-0.0000197093                          2.0201
0.0000035762                           2.0251
0.0000263389                           2.0301
0.0000392000                           2.0351
0.0000365716                           2.0401
0.0000187921                           2.0451
-0.0000080039                          2.0501
-0.0000342278                          2.0551
-0.0000504997                          2.0601
-0.0000512305                          2.0651
-0.0000367571                          2.0701
-0.0000132131                          2.0751
0.0000098144                           2.0801
0.0000229464                           2.0851
0.0000205947                           2.0901
0.0000030975                           2.0951
-0.0000234108                          2.1001
-0.0000493419                          2.1051
-0.0000653163                          2.1101
-0.0000657456                          2.1151
-0.0000509668                          2.1201
-0.0000271130                          2.1251
-0.0000037720                          2.1301
0.0000096772                           2.1351
0.0000076464                           2.1401
-0.0000095269                          2.1451
-0.0000357084                          2.1501
-0.0000613097                          2.1551
-0.0000769515                          2.1601
-0.0000770460                          2.1651
-0.0000619313                          2.1701
-0.0000377406                          2.1751
-0.0000140608                          2.1801
-0.0000002714                          2.1851
-0.0000019607                          2.1901
-0.0000187914                          2.1951
-0.0000446291                          2.2001
-0.0000698854                          2.2051
-0.0000851815                          2.2101
-0.0000849302                          2.2151
-0.0000694695                          2.2201
-0.0000449327                          2.2251
-0.0000209068                          2.2301
-0.0000067717                          2.2351
-0.0000081162                          2.2401
-0.0000246032                          2.2451
-0.0000500988                          2.2501
-0.0000750149                          2.2551
-0.0000899716                          2.2601
-0.0000893825                          2.2651
-0.0000735852                          2.2701
-0.0000487131                          2.2751
-0.0000243540                          2.2801
-0.0000098882                          2.2851
-0.0000109046                          2.2901
-0.0000270661                          2.2951
-0.0000522385                          2.3001
-0.0000768353                          2.3051
-0.0000914767                          2.3101
-0.0000905752                          2.3151
-0.0000744671                          2.3201
-0.0000492880                          2.3251
-0.0000246274                          2.3301
-0.0000098641                          2.3351
-0.0000105867                          2.3401
-0.0000264588                          2.3451
-0.0000513462                          2.3501
-0.0000756616                          2.3551
-0.0000900274                          2.3601
-0.0000888545                          2.3651
-0.0000724795                          2.3701
-0.0000470379                          2.3751
-0.0000221174                          2.3801
-0.0000070987                          2.3851
-0.0000075712                          2.3901
-0.0000231978                          2.3951
-0.0000478447                          2.4001
-0.0000719257                          2.4051
-0.0000860615                          2.4101
-0.0000846644                          2.4151
-0.0000680724                          2.4201
-0.0000424195                          2.4251
-0.0000172947                          2.4301
-0.0000020775                          2.4351
-0.0000023568                          2.4401
-0.0000177959                          2.4451
-0.0000422616                          2.4501
-0.0000661662                          2.4551
-0.0000801299                          2.4601
-0.0000785666                          2.4651
-0.0000618138                          2.4701
-0.0000360063                          2.4751
-0.0000107325                          2.4801
0.0000046279                           2.4851
0.0000044859                           2.4901
-0.0000108218                          2.4951
-0.0000351615                          2.5001
-0.0000589456                          2.5051
-0.0000727951                          2.5101
-0.0000711224                          2.5151
-0.0000542650                          2.5201
-0.0000283581                          2.5251
-0.0000029905                          2.5301
0.0000124579                           2.5351
0.0000123983                           2.5401
-0.0000028325                          2.5451
-0.0000271011                          2.5501
-0.0000508201                          2.5551
-0.0000646104                          2.5601
-0.0000628839                          2.5651
-0.0000459795                          2.5701
-0.0000200309                          2.5751
0.0000053733                           2.5801
0.0000208530                           2.5851
0.0000208195                           2.5901
0.0000056094                           2.5951
-0.0000186438                          2.6001
-0.0000423526                          2.6051
-0.0000561383                          2.6101
-0.0000544126                          2.6151
-0.0000375128                          2.6201
-0.0000115735                          2.6251
0.0000138166                           2.6301
0.0000292774                           2.6351
0.0000292205                           2.6401
0.0000139822                           2.6451
-0.0000103035                          2.6501
-0.0000340490                          2.6551
-0.0000478755                          2.6601
-0.0000461951                          2.6651
-0.0000293454                          2.6701
-0.0000034610                          2.6751
0.0000218702                           2.6801
0.0000372682                           2.6851
0.0000371447                           2.6901
0.0000218361                           2.6951
-0.0000025237                          2.7001
-0.0000263469                          2.7051
-0.0000402548                          2.7101
-0.0000386590                          2.7151
-0.0000218967                          2.7201
0.0000038978                           2.7251
0.0000291358                           2.7301
0.0000444376                           2.7351
0.0000442151                           2.7401
0.0000288052                           2.7451
0.0000043418                           2.7501
-0.0000195876                          2.7551
-0.0000336039                          2.7601
-0.0000321189                          2.7651
-0.0000154701                          2.7701
0.0000102081                           2.7751
0.0000353279                           2.7801
0.0000505097                           2.7851
0.0000501649                           2.7901
0.0000346314                           2.7951
0.0000100422                           2.8001
-0.0000140147                          2.8051
-0.0000281600                          2.8101
-0.0000268056                          2.8151
-0.0000102884                          2.8201
0.0000152571                           2.8251
0.0000402429                           2.8301
0.0000552898                           2.8351
0.0000548089                           2.8401
0.0000391377                           2.8451
0.0000144101                           2.8501
-0.0000097859                          2.8551
-0.0000240711                          2.8601
-0.0000228568                          2.8651
-0.0000064801                          2.8701
0.0000189245                           2.8751
0.0000437691                           2.8801
0.0000586747                           2.8851
0.0000580522                           2.8901
0.0000422395                           2.8951
0.0000173706                           2.9001
-0.0000069667                          2.9051
-0.0000213927                          2.9101
-0.0000203192                          2.9151
-0.0000040829                          2.9201
0.0000211819                           2.9251
0.0000458873                           2.9301
0.0000606542                           2.9351
0.0000598944                           2.9401
0.0000439460                           2.9451
0.0000189424                           2.9501
-0.0000055285                          2.9551
-0.0000200872                          2.9601
-0.0000191453                          2.9651
-0.0000030401                          2.9701
0.0000220947                           2.9751
0.0000466715                           2.9801
0.0000613109                           2.9851
0.0000604245                           2.9901
0.0000443505                           2.9951
0.0000192230                           3.0001

