Set used: 2

Position (m)                            Time (s)
--------------------------------------------------------
0                                             0
0.0000018073                           0.0051
0.0000131746                           0.0101
0.0000396800                           0.0151
0.0000809760                           0.0201
0.0001309199                           0.0251
0.0001799141                           0.0301
0.0002185699                           0.0351
0.0002412919                           0.0401
0.0002484062                           0.0451
0.0002460384                           0.0501
0.0002437720                           0.0551
0.0002509795                           0.0601
0.0002732446                           0.0651
0.0003102205                           0.0701
0.0003557662                           0.0751
0.0004002895                           0.0801
0.0004344052                           0.0851
0.0004525194                           0.0901
0.0004549681                           0.0951
0.0004478787                           0.1001
0.0004408352                           0.1051
0.0004432154                           0.1101
0.0004606041                           0.1151
0.0004926605                           0.1201
0.0005332507                           0.1251
0.0005727803                           0.1301
0.0006018639                           0.1351
0.0006149180                           0.1401
0.0006122829                           0.1451
0.0006000965                           0.1501
0.0005879354                           0.1551
0.0005851837                           0.1601
0.0005974246                           0.1651
0.0006243196                           0.1701
0.0006597323                           0.1751
0.0006940843                           0.1801
0.0007179903                           0.1851
0.0007258695                           0.1901
0.0007180597                           0.1951
0.0007007044                           0.2001
0.0006833884                           0.2051
0.0006754996                           0.2101
0.0006826191                           0.2151
0.0007044089                           0.2201
0.0007347346                           0.2251
0.0007640240                           0.2301
0.0007828978                           0.2351
0.0007857657                           0.2401
0.0007729746                           0.2451
0.0007506656                           0.2501
0.0007284336                           0.2551
0.0007156613                           0.2601
0.0007179326                           0.2651
0.0007349231                           0.2701
0.0007605085                           0.2751
0.0007850988                           0.2801
0.0007993248                           0.2851
0.0007976032                           0.2901
0.0007802751                           0.2951
0.0007534811                           0.3001
0.0007268170                           0.3051
0.0007096599                           0.3101
0.0007076186                           0.3151
0.0007203606                           0.3201
0.0007417562                           0.3251
0.0007622275                           0.3301
0.0007723960                           0.3351
0.0007666903                           0.3401
0.0007454560                           0.3451
0.0007148362                           0.3501
0.0006844212                           0.3551
0.0006636014                           0.3601
0.0006579675                           0.3651
0.0006671954                           0.3701
0.0006851579                           0.3751
0.0007022700                           0.3801
0.0007091649                           0.3851
0.0007002633                           0.3901
0.0006759043                           0.3951
0.0006422344                           0.4001
0.0006088520                           0.4051
0.0005851422                           0.4101
0.0005767065                           0.4151
0.0005832146                           0.4201
0.0005985342                           0.4251
0.0006130900                           0.4301
0.0006175092                           0.4351
0.0006062122                           0.4401
0.0005795473                           0.4451
0.0005436585                           0.4501
0.0005081409                           0.4551
0.0004823831                           0.4601
0.0004719832                           0.4651
0.0004766129                           0.4701
0.0004901470                           0.4751
0.0005030006                           0.4801
0.0005058049                           0.4851
0.0004929865                           0.4901
0.0004648943                           0.4951
0.0004276633                           0.5001
0.0003908903                           0.5051
0.0003639600                           0.5101
0.0003524728                           0.5151
0.0003561011                           0.5201
0.0003687173                           0.5251
0.0003807392                           0.5301
0.0003827954                           0.5351
0.0003693076                           0.5401
0.0003406167                           0.5451
0.0003028698                           0.5501
0.0002656614                           0.5551
0.0002383776                           0.5601
0.0002266123                           0.5651
0.0002300373                           0.5701
0.0002425259                           0.5751
0.0002544967                           0.5801
0.0002565755                           0.5851
0.0002431829                           0.5901
0.0002146607                           0.5951
0.0001771497                           0.6001
0.0001402453                           0.6051
0.0001133332                           0.6101
0.0001020076                           0.6151
0.0001059382                           0.6201
0.0001189967                           0.6251
0.0001316020                           0.6301
0.0001343802                           0.6351
0.0001217482                           0.6401
0.0000940476                           0.6451
0.0000574190                           0.6501
0.0000214547                           0.6551
-0.0000044611                          0.6601
-0.0000147348                          0.6651
-0.0000096990                          0.6701
0.0000045167                           0.6751
0.0000183291                           0.6801
0.0000223630                           0.6851
0.0000110344                           0.6901
-0.0000153154                          0.6951
-0.0000505485                          0.7001
-0.0000850723                          0.7051
-0.0001095053                          0.7101
-0.0001182549                          0.7151
-0.0001116550                          0.7201
-0.0000958365                          0.7251
-0.0000803851                          0.7301
-0.0000746772                          0.7351
-0.0000842970                          0.7401
-0.0001089061                          0.7451
-0.0001423681                          0.7501
-0.0001750920                          0.7551
-0.0001976975                          0.7601
-0.0002045928                          0.7651
-0.0001961120                          0.7701
-0.0001783876                          0.7751
-0.0001610067                          0.7801
-0.0001533481                          0.7851
-0.0001609993                          0.7901
-0.0001836190                          0.7951
-0.0002150753                          0.8001
-0.0002457785                          0.8051
-0.0002663502                          0.8101
-0.0002711994                          0.8151
